week,id,name,category,description,typical_week,early_range_start,early_range_end,normal_range_start,normal_range_end,late_start_week,red_flag_week,early_parent_copy,normal_parent_copy,late_parent_copy,red_flag_parent_copy,early_badge_name,early_badge_copy,normal_badge_name,normal_badge_copy
16,wk16_holds_head_steady_when_supported,Holds head steady when supported,gross_motor,Baby holds head more steadily when held upright or sitting with support.,16,13,15,16,24,25,32,"Your baby reached 'Holds head steady when supported' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Holds head steady when supported' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Holds head steady when supported' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Holds head steady when supported' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Holds head steady when supported' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Holds head steady when supported' has been reached—lovely progress. Take a second to celebrate this stage.
17,wk17_blows_raspberries,Blows raspberries,language,Baby makes razzing or raspberry sounds with lips and tongue.,17,14,16,17,25,26,33,"Your baby reached 'Blows raspberries' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Blows raspberries' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Blows raspberries' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Blows raspberries' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Blows raspberries' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Blows raspberries' has been reached—lovely progress. Take a second to celebrate this stage.
18,wk18_engages_in_short_solo_play,Engages in short solo play,cognitive,Baby can stay briefly engaged with a toy on their own.,18,15,17,18,26,27,34,"Your baby reached 'Engages in short solo play' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Engages in short solo play' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Engages in short solo play'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Engages in short solo play' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
19,wk19_babbles_consonant_vowel_sounds,Babbles consonant-vowel sounds,language,"Baby strings sounds like 'baba', 'gaga', 'dada' (no meaning yet).",19,16,18,19,27,28,35,"Your baby reached 'Babbles consonant-vowel sounds' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Babbles consonant-vowel sounds' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Babbles consonant-vowel sounds' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Babbles consonant-vowel sounds' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Babbles consonant-vowel sounds' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Babbles consonant-vowel sounds' has been reached—lovely progress. Take a second to celebrate this stage.
19,wk19_shows_excitement_when_you_appear,Shows excitement when you appear,social_emotional,"Baby kicks, waves arms or squeals when they see you.",19,16,18,19,27,28,35,"Your baby is showing social-emotional milestone 'Shows excitement when you appear' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows excitement when you appear' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows excitement when you appear' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows excitement when you appear' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows excitement when you appear' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows excitement when you appear' has been reached—lovely progress. Take a second to celebrate this stage.
20,wk20_enjoys_mirror_and_own_reflection,Enjoys mirror and own reflection,social_emotional,Baby smiles or reacts to their reflection in the mirror.,20,17,19,20,28,29,36,"Your baby is showing social-emotional milestone 'Enjoys mirror and own reflection' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Enjoys mirror and own reflection' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Enjoys mirror and own reflection' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Enjoys mirror and own reflection' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Enjoys mirror and own reflection' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Enjoys mirror and own reflection' has been reached—lovely progress. Take a second to celebrate this stage.
21,wk21_scoots_or_shuffles_on_tummy,Scoots or shuffles on tummy,gross_motor,Baby may push backwards or sideways to move on the floor.,21,18,20,21,29,30,37,"Your baby reached 'Scoots or shuffles on tummy' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Scoots or shuffles on tummy' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Scoots or shuffles on tummy' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Scoots or shuffles on tummy' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Scoots or shuffles on tummy' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Scoots or shuffles on tummy' has been reached—lovely progress. Take a second to celebrate this stage.
22,wk22_grabs_and_mouths_toys,Grabs and mouths toys,fine_motor,Baby grasps toys and explores them with the mouth.,22,19,21,22,30,31,38,"Your baby reached 'Grabs and mouths toys' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Grabs and mouths toys' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Grabs and mouths toys'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Grabs and mouths toys' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Grabs and mouths toys' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Grabs and mouths toys' has been reached—lovely progress. Take a second to celebrate this stage.
23,wk23_bounces_with_support,Bounces with support,gross_motor,Baby enjoys standing with support and bouncing.,23,20,22,23,31,32,39,"Your baby reached 'Bounces with support' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Bounces with support' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Bounces with support' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Bounces with support' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Bounces with support' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Bounces with support' has been reached—lovely progress. Take a second to celebrate this stage.
24,wk24_responds_to_name_and_no,Responds to name and 'no',language,Baby turns to their name and may react to 'no' or familiar words.,24,21,23,24,32,33,40,"Your baby reached 'Responds to name and 'no'' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Responds to name and 'no'' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Communication skills like 'Responds to name and 'no'' can come a bit later for some babies. Talk, sing, name objects, and read out loud every day to support language.","If you don’t see signs of 'Responds to name and 'no'' and your baby also makes few sounds or responses, please bring this up with your pediatrician.",Milestone Ahead,'Responds to name and 'no'' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Responds to name and 'no'' has been reached—lovely progress. Take a second to celebrate this stage.
24,wk24_transfers_toys_between_hands,Transfers toys between hands,fine_motor,Baby moves a toy from one hand to the other.,24,21,23,24,32,33,40,"Your baby reached 'Transfers toys between hands' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Transfers toys between hands' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Transfers toys between hands'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Transfers toys between hands' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",Milestone Ahead,'Transfers toys between hands' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Transfers toys between hands' has been reached—lovely progress. Take a second to celebrate this stage.
25,wk25_sits_with_minimal_support,Sits with minimal support,gross_motor,Baby sits with support from hands or a pillow behind.,25,22,24,25,33,34,41,"Your baby reached 'Sits with minimal support' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Sits with minimal support' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Gross motor skills like 'Sits with minimal support' can vary a lot. Encourage floor time, safe movement, and exploration. If you stay concerned, talk with your pediatrician.","If your baby still hasn’t reached 'Sits with minimal support' and you’re worried about strength or movement, it’s a good idea to speak with your pediatrician for guidance.",Milestone Ahead,'Sits with minimal support' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Sits with minimal support' has been reached—lovely progress. Take a second to celebrate this stage.
26,wk26_shows_stranger_anxiety,Shows stranger anxiety,social_emotional,Baby may cling to familiar adults and be wary of strangers.,26,23,25,26,34,35,42,"Your baby is showing social-emotional milestone 'Shows stranger anxiety' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Shows stranger anxiety' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Shows stranger anxiety' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Shows stranger anxiety' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Shows stranger anxiety' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Shows stranger anxiety' has been reached—lovely progress. Take a second to celebrate this stage.
27,wk27_drops_objects_to_see_what_happens,Drops objects to see what happens,cognitive,Baby deliberately drops toys to watch and listen.,27,24,26,27,35,36,43,"Your baby reached 'Drops objects to see what happens' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Drops objects to see what happens' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Drops objects to see what happens'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Drops objects to see what happens' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
28,wk28_shows_readiness_for_solids,Shows readiness for solids,feeding,Baby has good head control and shows interest in food.,28,25,27,28,36,37,44,"Your baby reached 'Shows readiness for solids' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Shows readiness for solids' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Shows readiness for solids'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Shows readiness for solids' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
28,wk28_explores_food_with_hands,Explores food with hands,feeding,"Baby touches, squishes or brings small bits of food toward mouth.",28,25,27,28,36,37,44,"Your baby reached 'Explores food with hands' a bit earlier than average. Babies develop at their own pace, and early can be perfectly normal if your baby seems comfortable and happy.","'Explores food with hands' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.",Your baby is taking a little longer to reach 'Explores food with hands'. Many babies do skills slightly later and still grow typically. You can support this milestone with simple daily play.,"Because many babies have reached 'Explores food with hands' by now, it may help to mention this to your pediatrician, especially if you also have other concerns.",,,,
29,wk29_enjoys_simple_games_like_peek_a_boo,Enjoys simple games like peek-a-boo,social_emotional,Baby responds to social games like peek-a-boo or pat-a-cake.,29,26,28,29,37,38,45,"Your baby is showing social-emotional milestone 'Enjoys simple games like peek-a-boo' a bit early, which can be perfectly normal. Enjoy the connection and keep following their lead.","'Enjoys simple games like peek-a-boo' is within the usual range. Every baby is unique, and you’re supporting great development by responding to their cues and playing together.","Social milestones like 'Enjoys simple games like peek-a-boo' can vary. Offer face-to-face time, gentle play, and predictable routines to help your baby feel secure.","If you rarely see 'Enjoys simple games like peek-a-boo' and your baby seems very hard to engage or comfort, it’s worth discussing this with your pediatrician.",Milestone Ahead,'Enjoys simple games like peek-a-boo' showed up a little early. Every baby has their own pace—enjoy this moment.,Milestone Reached,'Enjoys simple games like peek-a-boo' has been reached—lovely progress. Take a second to celebrate this stage.
